iter    train_loss      test_loss       num_unique_samples_this_epoch
0       0.2001          0.9769          1
25      0.2308          1.1048          21
50      0.2745          1.163           26
75      0.2512          1.1182          34
100     0.2771          1.1453          39
125     0.3401          1.2688          43
150     0.3199          1.2647          49
175     0.3364          1.2931          53
200     0.3178          1.299           58
225     0.3574          1.3931          61
250     0.359           1.4082          65
275     0.3308          1.3846          69
300     0.3403          1.4071          73
325     0.2915          1.3594          78
350     0.3414          1.4355          82
375     0.3605          1.4876          84
400     0.3787          1.5715          87
425     0.358           1.48            91
450     0.3483          1.4828          94
475     0.3443          1.4503          98
500     0.361           1.5656          100
525     0.3537          1.5665          103
550     0.3625          1.5446          104
575     0.3624          1.5276          109
600     0.3706          1.6085          111
625     0.3428          1.4954          114
650     0.3356          1.5267          116
675     0.372           1.6094          121
700     0.328           1.544           123
725     0.3206          1.438           130
750     0.3382          1.4758          135
775     0.3593          1.5239          137
800     0.3519          1.4954          139
825     0.3299          1.467           143
850     0.3363          1.4548          145
875     0.3303          1.4821          147
900     0.3299          1.4446          154
925     0.3095          1.4131          156
950     0.3419          1.4649          156
975     0.3081          1.3916          158
iter    train_loss      test_loss       num_unique_samples_this_epoch
1000    0.3249          1.484           1
1025    0.2358          1.3467          18
1050    0.2348          1.3416          26
1075    0.2261          1.2709          32
1100    0.2155          1.2255          39
1125    0.2246          1.272           42
1150    0.2226          1.2617          44
1175    0.221           1.2441          47
1200    0.2094          1.1863          52
1225    0.2077          1.1681          56
1250    0.2037          1.15            58
1275    0.1991          1.1372          60
1300    0.2011          1.1441          61
1325    0.2003          1.1401          62
1350    0.1939          1.1035          64
1375    0.1921          1.0826          66
1400    0.1778          1.0171          72
1425    0.179           1.0252          75
1450    0.185           1.0514          78
1475    0.1838          1.0494          79
1500    0.18            1.029           80
1525    0.1826          1.0374          80
1550    0.1826          1.0403          81
1575    0.1793          1.0326          84
1600    0.177           1.0212          85
1625    0.1701          0.9928          88
1650    0.1727          0.9967          89
1675    0.1746          1.0118          90
1700    0.1726          1.0014          92
1725    0.1669          0.9697          94
1750    0.1685          0.9697          97
1775    0.1691          0.9767          97
1800    0.1676          0.9577          98
1825    0.166           0.9676          98
1850    0.1669          0.9666          99
1875    0.1655          0.9576          100
1900    0.1597          0.9416          103
1925    0.1599          0.9427          104
1950    0.1606          0.9458          106
1975    0.1593          0.9447          107
