iter    train_loss      test_loss       num_unique_samples_this_epoch
0       0.2037          0.9775          1
25      0.1937          0.9458          26
50      0.1849          0.9448          50
75      0.1843          0.9459          73
100     0.1863          0.9563          96
125     0.1827          0.976           120
150     0.1718          0.9269          139
175     0.1735          0.9452          160
200     0.1675          0.9342          183
225     0.1636          0.9207          200
250     0.1578          0.9039          221
275     0.1547          0.8802          237
300     0.1502          0.8939          257
325     0.1503          0.8941          272
350     0.1486          0.9003          293
375     0.1477          0.9037          315
400     0.146           0.8814          333
425     0.1464          0.8805          351
450     0.144           0.8797          368
475     0.1448          0.8908          382
500     0.1416          0.8745          395
525     0.1405          0.8874          412
550     0.1412          0.9449          426
575     0.1315          0.8937          445
600     0.1314          0.887           459
625     0.1309          0.8935          472
650     0.137           0.925           486
675     0.1378          0.9182          502
700     0.1355          0.9259          513
725     0.1351          0.9164          523
750     0.1323          0.9171          533
775     0.1266          0.9054          537
800     0.1265          0.9016          548
825     0.1289          0.8986          560
850     0.1258          0.8995          568
875     0.1304          0.937           577
900     0.1384          1.0019          588
925     0.1232          0.9787          602
950     0.1225          0.9589          613
975     0.1234          0.9865          620
iter    train_loss      test_loss       num_unique_samples_this_epoch
1000    0.1254          0.975           1
1025    0.1199          0.9647          26
1050    0.1191          0.9489          50
1075    0.1221          0.9727          71
1100    0.1181          0.9527          93
1125    0.1165          0.9492          116
1150    0.1144          0.9393          137
1175    0.1151          0.9477          157
1200    0.1144          0.9233          177
1225    0.1171          0.932           199
1250    0.1122          0.9311          219
1275    0.1146          0.9397          238
1300    0.1117          0.9352          256
1325    0.1118          0.947           276
1350    0.1144          0.9527          296
1375    0.111           0.9432          312
1400    0.1108          0.949           326
1425    0.1116          0.9691          342
1450    0.1096          0.9259          358
1475    0.1112          0.9171          374
1500    0.1152          0.9501          390
1525    0.1148          0.9355          406
1550    0.1101          0.9071          420
1575    0.1102          0.9195          432
1600    0.1107          0.9283          448
1625    0.1093          0.9249          461
1650    0.1073          0.9103          477
1675    0.1076          0.9154          488
1700    0.1073          0.9015          500
1725    0.1112          0.9055          512
1750    0.1036          0.8843          521
1775    0.1058          0.9008          533
1800    0.1046          0.9011          545
1825    0.1048          0.9151          560
1850    0.1089          0.9159          570
1875    0.1058          0.9052          584
1900    0.1042          0.8869          593
1925    0.1019          0.8856          601
1950    0.1033          0.9212          610
1975    0.1033          0.9084          618
