iter    train_loss      test_loss       num_unique_samples_this_epoch
0       0.2029          0.9802          1
25      0.1923          0.9819          24
50      0.1803          0.9385          48
75      0.183           0.9333          73
100     0.1702          0.9323          97
125     0.1673          0.9457          119
150     0.1643          0.9457          140
175     0.1686          0.9593          159
200     0.1713          0.9812          178
225     0.1597          0.9552          191
250     0.1566          0.9458          210
275     0.1547          0.9281          227
300     0.1487          0.9069          242
325     0.1483          0.9024          259
350     0.1445          0.908           273
375     0.1421          0.9082          290
400     0.1403          0.9134          305
425     0.1436          0.9322          314
450     0.1423          0.9269          324
475     0.1461          0.9477          338
500     0.1366          0.9263          349
525     0.1313          0.9142          358
550     0.1292          0.9049          371
575     0.1296          0.9048          376
600     0.1265          0.9             386
625     0.1228          0.9011          395
650     0.1217          0.9145          403
675     0.1222          0.9419          415
700     0.1258          0.99            424
725     0.1225          0.9732          432
750     0.1167          0.9664          446
775     0.1522          1.0292          453
800     0.1154          0.9366          461
825     0.1163          0.9516          472
850     0.1149          0.9738          480
875     0.1171          1.0088          486
900     0.1215          1.008           496
925     0.1134          0.9762          505
950     0.1067          0.9539          509
975     0.1086          0.9823          516
iter    train_loss      test_loss       num_unique_samples_this_epoch
1000    0.118           1.0488          1
1025    0.1084          0.9873          25
1050    0.1072          1.0005          48
1075    0.107           1.0005          71
1100    0.1046          0.9967          91
1125    0.1035          0.9825          111
1150    0.1078          1.0019          128
1175    0.1042          0.9861          148
1200    0.1045          1.0011          164
1225    0.1034          0.9935          182
1250    0.1094          1.0103          200
1275    0.1029          0.9791          218
1300    0.104           0.997           232
1325    0.0989          0.9608          249
1350    0.0979          0.956           262
1375    0.0978          0.9782          282
1400    0.0988          0.9839          298
1425    0.0963          0.9599          311
1450    0.0968          0.9815          321
1475    0.0986          1.0061          331
1500    0.0975          0.9754          345
1525    0.1001          1.0096          358
1550    0.0947          0.9665          366
1575    0.0968          0.9675          382
1600    0.0949          0.9561          394
1625    0.0956          0.9588          402
1650    0.0945          0.9698          415
1675    0.0947          0.9809          428
1700    0.0941          0.9785          438
1725    0.0946          1.008           445
1750    0.0958          0.9974          458
1775    0.0937          1.0033          468
1800    0.0909          0.9909          478
1825    0.0974          0.9923          487
1850    0.0933          0.9951          492
1875    0.0911          0.9746          498
1900    0.0905          0.9756          508
1925    0.0877          0.9624          518
1950    0.0886          0.9663          524
1975    0.0876          0.9866          536
